,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Moron,HT,100,1570072666,77,18.56,-74.26,80.23,2.68
1,Provideniya,RU,75,1570072760,80,64.42,-173.23,39.2,15.66
2,Praia da Vitoria,PT,75,1570073228,82,38.73,-27.07,64.4,8.43
3,Kaeo,NZ,36,1570072680,80,-35.1,173.78,61.0,10.78
4,Saint-Leu,RE,0,1570073230,64,-21.15,55.28,75.2,4.7
5,Hobart,AU,0,1570073170,31,-42.88,147.33,81.0,10.29
6,Mar del Plata,AR,0,1570073233,37,-46.43,-67.52,46.48,7.56
7,Nantucket,US,90,1570073193,87,41.28,-70.1,57.99,16.11
8,Kloulklubed,PW,75,1570073046,70,7.04,134.26,86.0,9.17
9,Hilo,US,90,1570073237,69,19.71,-155.08,80.6,8.05
10,Ushuaia,AR,40,1570073238,65,-54.81,-68.31,41.0,29.97
11,Dwarka,IN,40,1570073239,69,28.58,77.04,86.0,3.49
12,Saint George,GR,20,1570072660,93,39.45,22.34,60.8,2.28
13,Punta Arenas,CL,0,1570073242,77,-53.16,-70.91,41.0,28.86
14,Nouadhibou,MR,36,1570073243,51,20.93,-17.03,80.6,13.87
15,Honiara,SB,20,1570073244,59,-9.43,159.96,89.6,13.87
16,Saskylakh,RU,4,1570073246,76,71.97,114.09,19.39,0.87
17,Yellowknife,CA,75,1570073247,61,62.45,-114.38,48.2,10.29
18,Kargopol,RU,96,1570073248,89,61.51,38.95,35.84,9.24
19,Rikitea,PF,90,1570072985,76,-23.12,-134.97,64.39,9.8
20,Bridlington,GB,0,1570073251,86,54.08,-0.19,42.01,4.7
21,Jamestown,AU,12,1570073167,19,-33.21,138.6,83.45,1.45
22,Albany,US,90,1570073220,62,42.65,-73.75,53.01,11.41
23,Senekal,ZA,0,1570073255,65,-28.32,27.62,43.85,7.2
24,Ilulissat,GL,0,1570073256,31,69.22,-51.1,48.2,27.51
25,Bredasdorp,ZA,36,1570073257,87,-34.53,20.04,51.8,5.82
26,Yerbogachen,RU,100,1570072709,95,61.28,108.01,33.77,11.92
27,Pacific Grove,US,1,1570073259,45,36.62,-121.92,64.99,4.7
28,Esperance,AU,67,1570073261,64,-33.86,121.89,68.0,12.75
29,Busselton,AU,100,1570073262,74,-33.64,115.35,68.0,1.99
30,Port Lincoln,AU,28,1570073264,84,-34.72,135.86,57.41,11.52
31,Port Elizabeth,US,90,1570073265,57,39.31,-74.98,81.0,10.29
32,Mount Isa,AU,0,1570073267,18,-20.73,139.49,91.4,12.75
33,Adrar,DZ,0,1570073268,12,27.87,-0.29,78.8,14.99
34,Bouza,NE,44,1570073269,48,14.42,6.04,81.76,8.79
35,Hostotipaquillo,MX,100,1570073270,93,21.06,-104.05,69.01,4.0
36,Vila Franca do Campo,PT,75,1570073272,73,37.72,-25.43,71.01,2.24
37,Wawa,NG,91,1570073273,94,9.9,4.41,72.08,3.87
38,Bluff,AU,0,1570073274,29,-23.58,149.07,80.75,13.24
39,Castro,CL,0,1570073275,94,-42.48,-73.76,35.6,6.93
40,Faanui,PF,9,1570073277,78,-16.48,-151.75,77.78,14.76
41,Leningradskiy,RU,100,1570073278,92,69.38,178.42,29.11,12.82
42,Puerto Ayora,EC,47,1570073279,92,-0.74,-90.35,66.99,1.99
43,Astana,KZ,0,1570072422,86,51.13,71.43,30.2,6.71
44,Beisfjord,NO,0,1570073282,69,68.38,17.6,37.99,10.29
45,Beringovskiy,RU,95,1570073283,64,63.05,179.32,36.45,3.09
46,Marawi,PH,14,1570073285,78,8.0,124.29,84.99,5.99
47,Kodiak,US,90,1570073286,87,39.95,-94.76,60.8,10.29
48,Cape Town,ZA,40,1570073122,93,-33.93,18.42,59.0,3.36
49,Tiksi,RU,100,1570073287,87,71.64,128.87,24.57,27.38
50,Upernavik,GL,100,1570073290,68,72.79,-56.15,37.19,10.69
51,Longyearbyen,NO,75,1570073222,74,78.22,15.63,35.6,18.34
52,Pimentel,BR,0,1570073292,88,-3.7,-45.5,73.37,2.86
53,Bambous Virieux,MU,75,1570073293,94,-20.34,57.76,73.4,8.05
54,New Norfolk,AU,0,1570073294,31,-42.78,147.06,82.0,10.29
55,Vaini,IN,40,1570073296,83,15.34,74.49,75.2,0.65
56,San Patricio,PY,100,1570073291,94,-26.98,-56.83,67.31,6.38
57,Hermanus,ZA,0,1570073298,89,-34.42,19.24,57.0,6.89
58,Ponta do Sol,BR,0,1570073299,51,-20.63,-46.0,71.37,3.04
59,Bethel,US,90,1570073301,81,60.79,-161.76,50.0,8.05
60,Atuona,PF,24,1570073302,72,-9.8,-139.03,80.09,8.16
61,Uribia,CO,88,1570073303,84,11.71,-72.27,78.88,2.62
62,Haysville,US,90,1570073305,87,37.56,-97.35,62.01,10.29
63,North Platte,US,1,1570073306,87,41.12,-100.77,44.6,4.7
64,Anadyr,RU,75,1570073307,55,64.73,177.51,32.0,6.71
65,Airai,TL,0,1570073308,32,-8.93,125.41,93.57,3.29
66,Morlaix,FR,90,1570073310,87,48.58,-3.83,52.0,6.93
67,Boma,GH,100,1570073311,99,7.08,-2.17,71.81,2.8
68,Manitouwadge,CA,60,1570073312,89,49.12,-85.84,30.1,4.56
69,Kruisfontein,ZA,100,1570073314,74,-34.0,24.73,58.29,16.28
70,Qaanaaq,GL,26,1570073315,71,77.48,-69.36,21.19,4.09
71,Ust-Nera,RU,48,1570073316,61,64.57,143.24,16.73,3.62
72,Masterton,NZ,100,1570073318,56,-40.95,175.66,53.01,5.01
73,Moen,BE,0,1570073319,86,50.77,3.4,48.99,6.93
74,Maragogi,BR,48,1570073320,92,-9.01,-35.22,70.71,4.12
75,Tomohon,ID,40,1570073321,62,1.33,124.84,87.8,9.17
76,Kapaa,US,40,1570073323,74,22.08,-159.32,86.0,17.22
77,Ribeira Grande,PT,100,1570073324,68,38.52,-28.7,69.54,8.68
78,Tapolca,HU,0,1570073325,76,46.88,17.44,50.0,19.46
79,Berlevag,NO,75,1570073327,74,70.86,29.09,37.4,16.11
80,Ngunguru,NZ,100,1570073328,60,-35.62,174.5,61.0,11.99
81,Victoria,BN,75,1570073329,66,5.28,115.24,87.8,2.24
82,Mataura,NZ,86,1570073330,91,-46.19,168.86,46.99,5.99
83,Clyde River,CA,90,1570073332,98,70.47,-68.59,32.0,3.36
84,Hambantota,LK,40,1570073333,100,6.12,81.12,75.2,2.24
85,Sao Filipe,CV,0,1570073334,86,14.9,-24.5,77.39,10.92
86,Hanna,CA,4,1570073265,93,51.64,-111.93,28.99,3.0
87,Nikolskoye,RU,90,1570073337,93,59.7,30.79,41.0,4.47
88,Barrow,AR,0,1570073338,78,-38.31,-60.23,36.2,7.31
89,Cockburn Town,TC,11,1570073211,68,21.46,-71.14,82.98,3.76
90,Qaqortoq,GL,100,1570073341,32,60.72,-46.03,51.8,32.21
91,Ramnagar,IN,65,1570073342,80,27.17,84.33,79.91,6.38
92,Cabo San Lucas,MX,40,1570073339,73,22.89,-109.91,80.01,4.7
93,Norman Wells,CA,90,1570073345,93,65.28,-126.83,44.6,3.36
94,Bahia Honda,CU,0,1570073346,78,22.9,-83.16,81.78,16.89
95,Kahului,US,40,1570073065,62,20.89,-156.47,84.2,16.11
96,Hami,CN,0,1570073348,21,42.84,93.51,59.94,7.02
97,Chuy,UY,97,1570073350,76,-33.69,-53.46,56.88,18.07
98,Elmira,US,90,1570073351,100,42.09,-76.81,55.0,4.7
99,Pokaran,IN,63,1570073352,60,26.93,71.92,84.82,11.86
100,Viedma,AR,0,1570073343,62,-40.81,-62.99,39.91,10.02
101,Hithadhoo,MV,95,1570073355,80,-0.6,73.08,82.35,16.51
102,Slavyanka,RU,100,1570073356,68,42.86,131.39,70.47,4.27
103,Norton,US,90,1570073357,87,41.97,-71.19,55.99,4.7
104,Patitirion,GR,0,1570073358,83,39.15,23.87,71.6,12.75
105,Andilamena,MG,59,1570073360,90,-17.01,48.57,61.71,8.43
106,Kaitangata,NZ,81,1570073361,62,-46.28,169.85,51.01,5.01
107,Xuddur,SO,51,1570073363,78,4.12,43.89,72.65,10.36
108,Butaritari,KI,100,1570073364,59,3.07,172.79,84.87,2.44
109,Nobres,BR,70,1570073365,85,-14.72,-56.34,73.93,3.98
110,Gazanjyk,TM,0,1570073366,22,39.24,55.52,58.11,9.04
111,Livani,LV,100,1570073368,94,56.35,26.18,44.36,4.88
112,Cassilandia,BR,100,1570073369,90,-19.11,-51.73,70.6,6.04
113,Isangel,VU,75,1570073370,54,-19.55,169.27,80.6,13.87
114,Kavieng,PG,41,1570073372,69,-2.57,150.8,83.06,1.16
115,Lompoc,US,1,1570073146,71,34.64,-120.46,63.0,3.36
116,Luderitz,NA,0,1570073374,93,-26.65,15.16,55.23,24.07
117,Vardo,US,90,1570073375,57,39.62,-77.74,80.6,4.7
118,Durban,CA,69,1570073376,84,51.93,-101.44,35.34,2.48
119,Avarua,CK,33,1570073378,61,-21.21,-159.78,77.0,9.17
120,Sao Joao da Barra,BR,5,1570073379,97,-21.64,-41.05,65.27,1.54
121,Carnarvon,ZA,61,1570073381,31,-30.97,22.13,49.65,2.46
122,Bandar-e Lengeh,IR,0,1570073382,74,26.56,54.88,86.0,6.93
123,Toora-Khem,RU,0,1570073383,38,52.47,96.11,34.92,3.53
124,Nuuk,GL,19,1570073384,42,64.17,-51.74,48.2,13.87
125,Ahipara,NZ,100,1570073212,84,-35.17,173.16,60.01,15.5
126,Ancud,CL,0,1570073387,75,-41.87,-73.83,35.6,6.93
127,Santiago del Estero,AR,0,1570073165,38,-27.8,-64.26,55.34,7.16
128,Khatanga,RU,0,1570073389,68,71.98,102.47,23.82,8.46
129,Barrhead,CA,90,1570073391,85,54.12,-114.4,46.4,6.93
130,Rio Grande,BR,100,1570073095,90,-32.03,-52.1,59.85,11.3
131,Impfondo,CD,8,1570073393,94,1.62,18.06,69.41,2.42
132,Thompson,CA,5,1570073264,79,55.74,-97.86,28.4,4.52
133,Tuktoyaktuk,CA,90,1570073396,93,69.44,-133.03,35.6,14.99
134,Hauterive,CA,1,1570073397,80,49.18,-68.27,39.2,6.93
135,Port Blair,IN,48,1570073209,66,11.67,92.75,82.17,1.61
136,Joshimath,IN,0,1570073400,59,30.57,79.57,55.68,1.63
137,Wasilla,US,90,1570073401,70,61.58,-149.44,50.0,3.36
138,Tapes,BR,100,1570073402,90,-30.67,-51.4,62.7,12.3
139,Gualeguay,AR,0,1570073404,75,-33.15,-59.31,49.4,11.99
140,Pasni,PK,92,1570073405,71,25.26,63.48,83.36,3.89
141,Bambui,CM,100,1570073407,93,6.01,10.23,62.0,0.69
142,San Rafael,AR,51,1570073408,25,-34.61,-68.33,49.32,8.75
143,Kiunga,PG,91,1570073409,64,-6.12,141.3,85.83,4.18
144,Vao,EE,94,1570073410,85,59.1,26.19,41.98,4.7
145,Usinsk,RU,93,1570073412,93,66.0,57.56,39.44,13.06
146,Dubbo,AU,40,1570073413,16,-32.25,148.6,84.2,8.05
147,Boden,SE,20,1570073414,92,65.83,21.69,30.2,6.93
148,San Jose,HN,75,1570073222,88,14.25,-87.96,73.4,8.05
149,Abu Samrah,SY,0,1570073417,92,35.3,37.18,64.35,7.83
150,Saint-Augustin,CA,20,1570073418,86,45.63,-73.98,46.0,2.24
151,Yulara,AU,15,1570073419,7,-25.24,130.99,96.8,6.93
152,Georgetown,GY,99,1570073421,94,6.8,-58.16,77.0,4.7
153,Praia,BR,0,1570073423,52,-20.25,-43.81,68.0,5.82
154,Ixtapa,MX,90,1570073424,94,20.71,-105.21,79.0,3.36
155,Kavaratti,IN,20,1570073425,74,10.57,72.64,84.2,4.7
156,Shamary,RU,100,1570073427,90,57.34,58.22,48.39,14.23
157,Fortuna,US,1,1570073428,81,40.6,-124.16,53.01,6.93
158,Greenfield,US,1,1570073273,66,42.59,-72.6,57.99,8.05
159,Torbay,CA,90,1570073430,93,47.66,-52.73,41.0,9.17
160,Trelew,AR,0,1570073432,23,-43.25,-65.31,48.33,7.43
161,Xai-Xai,MZ,0,1570073433,92,-25.04,33.64,57.93,2.42
162,Ukiah,US,1,1570073275,38,39.15,-123.21,60.01,4.7
163,Yuzhnyy,RU,66,1570073435,75,53.54,39.45,50.24,10.65
164,Laguna,BZ,75,1570073437,94,16.17,-88.94,78.8,1.5
165,Kerman,IR,20,1570073438,20,30.29,57.06,66.2,4.7
166,Karla,EE,90,1570073439,93,59.37,24.93,46.0,12.75
167,Nyurba,RU,100,1570073441,69,63.29,118.35,33.61,6.44
168,Taguatinga,BR,0,1570073442,46,-15.83,-48.06,73.4,2.24
169,Lebu,ET,75,1570073443,82,8.96,38.73,57.2,4.7
170,Okhotsk,RU,0,1570073223,38,59.36,143.24,36.54,19.53
171,Bonthe,SL,100,1570073446,89,7.53,-12.5,76.76,7.36
172,East London,ZA,0,1570073447,87,-33.02,27.91,55.4,2.24
173,Coihaique,CL,0,1570073448,80,-45.58,-72.07,33.8,1.28
174,Saldanha,PT,100,1570073450,62,41.42,-6.55,55.57,1.3
175,Rocha,UY,83,1570073451,82,-34.48,-54.34,49.38,10.83
176,Nome,US,1,1570073452,88,30.04,-94.42,82.99,3.47
177,Henties Bay,NA,0,1570073454,93,-22.12,14.28,57.23,7.87
178,Samsun,TR,75,1570073456,93,41.29,36.33,59.0,4.7
179,Namibe,AO,53,1570073457,82,-15.19,12.15,64.93,6.58
180,Mahebourg,MU,75,1570073458,94,-20.41,57.7,73.4,8.05
181,Santa Rosa,AR,0,1570073460,43,-36.62,-64.29,49.16,13.33
182,Severo-Kurilsk,RU,100,1570073461,96,50.68,156.12,48.01,14.41
183,Hamilton,CA,90,1570073309,87,43.26,-79.87,55.0,18.34
184,Vaitape,PF,9,1570073463,78,-16.52,-151.75,77.78,14.76
185,Sitka,US,89,1570073465,94,37.17,-99.65,57.0,10.0
186,Port Alfred,ZA,0,1570073466,87,-33.59,26.89,63.0,11.01
187,Nargana,PA,88,1570073468,83,9.44,-78.59,79.22,10.56
188,Sioux Lookout,CA,90,1570073360,77,50.1,-91.92,39.2,4.7
189,Khash,IR,70,1570073470,45,28.22,61.21,65.2,4.32
190,Lorengau,PG,87,1570073471,75,-2.02,147.27,82.91,2.28
191,Tuatapere,NZ,67,1570073473,91,-46.13,167.69,46.99,7.0
192,Whitehorse,CA,20,1570073474,60,60.72,-135.06,43.0,3.36
193,Jacareacanga,BR,32,1570073475,90,-6.22,-57.76,73.52,2.23
194,Penzance,GB,100,1570073477,78,50.12,-5.53,55.99,15.99
195,Shenjiamen,CN,1,1570073478,78,29.96,122.3,77.26,5.28
196,Umm Kaddadah,SD,94,1570073479,65,13.6,26.69,79.01,11.79
197,Iquique,CL,90,1570073481,77,-20.22,-70.14,60.8,5.82
198,Paita,PE,74,1570073482,91,-5.09,-81.11,63.99,14.58
199,Stonehaven,GB,90,1570073483,87,56.96,-2.22,45.0,10.29
200,Upata,VE,86,1570073484,95,8.02,-62.41,71.5,4.7
201,Yala,TH,20,1570073486,79,6.54,101.28,84.2,5.82
202,Guerrero Negro,MX,0,1570073487,79,27.97,-114.04,66.59,13.89
203,Ucluelet,CA,100,1570073258,91,48.94,-125.55,50.0,22.19
204,Saqqez,IR,17,1570073219,41,36.24,46.27,49.45,0.56
205,Narsaq,GL,100,1570073491,32,60.91,-46.05,51.8,32.21
206,Cidreira,BR,100,1570073492,89,-30.17,-50.22,63.87,10.22
207,Gagnoa,CI,87,1570073493,99,6.13,-5.95,69.63,1.61
208,Naryan-Mar,RU,100,1570073495,96,67.67,53.09,35.36,13.96
209,Ambon,FR,90,1570073286,87,47.55,-2.56,54.0,8.05
210,Hervey Bay,AU,0,1570073497,41,-25.3,152.85,78.01,16.11
211,Songea,TZ,75,1570073498,82,-10.68,35.65,68.0,4.41
212,Anton Lizardo,MX,40,1570073500,83,19.05,-95.98,80.6,3.36
213,Port-Gentil,GA,100,1570073501,75,-0.72,8.78,77.53,8.72
214,Ayan,IR,0,1570073502,38,38.23,44.7,51.8,2.24
215,Arraial do Cabo,BR,0,1570073441,84,-22.97,-42.02,69.41,26.8
216,Constitucion,MX,90,1570073505,87,23.99,-104.67,64.0,9.08
217,Katsuura,JP,75,1570073506,83,33.93,134.5,77.0,32.21
218,Riachao do Dantas,BR,41,1570073511,96,-11.07,-37.73,68.06,4.9
219,Waingapu,ID,1,1570073512,30,-9.65,120.26,89.03,17.25
220,Manama,AE,0,1570073514,58,25.33,56.02,87.8,8.05
221,Safranbolu,TR,13,1570073515,50,41.25,32.69,60.72,2.24
222,Carutapera,BR,1,1570073516,80,-1.2,-46.02,78.23,6.44
223,Tomislavgrad,BA,75,1570073517,93,43.71,17.23,57.2,1.12
224,Mangai,CD,97,1570073519,91,-4.07,19.59,69.61,1.12
225,Zhigansk,RU,23,1570073520,64,66.77,123.37,27.6,3.74
226,Karratha,AU,0,1570073521,14,-20.74,116.85,98.91,4.16
227,Pravda,BG,7,1570073523,100,43.16,25.69,55.4,2.24
228,Kargasok,RU,71,1570073524,74,59.06,80.87,42.29,11.97
229,Pevek,RU,100,1570073525,72,69.7,170.27,29.27,7.85
230,Kiknur,RU,97,1570073527,87,57.3,47.21,49.23,7.58
231,La Ronge,CA,5,1570073528,81,55.1,-105.3,41.0,9.17
232,Beatrice,US,90,1570073529,93,40.27,-96.75,54.0,8.05
233,Coquimbo,CL,100,1570073531,76,-29.95,-71.34,51.8,9.17
234,Soyo,AO,100,1570073532,84,-6.13,12.37,76.65,6.31
235,Port Shepstone,ZA,64,1570073533,42,-30.74,30.45,58.85,7.63
236,Dengfeng,CN,0,1570073534,36,34.46,113.03,81.54,7.34
237,Ushumun,RU,0,1570073536,31,52.78,126.54,42.79,9.42
238,Manggar,ID,100,1570073537,59,-2.88,108.27,86.12,5.95
239,Fulton,US,1,1570073539,78,38.85,-91.95,81.0,8.05
240,Broome,GB,1,1570073540,86,52.47,1.45,46.0,6.8
241,Nguruka,TZ,33,1570073541,80,-5.11,31.04,69.18,2.62
242,Krasnovka,RU,1,1570073542,75,48.37,40.26,51.07,7.27
243,Mareeba,AU,90,1570073544,58,-16.99,145.42,82.4,23.04
244,Taoudenni,ML,0,1570073545,11,22.68,-3.98,86.84,3.89
245,Qarqin,AF,0,1570073546,19,37.41,66.03,66.03,10.76
246,Wanning,AT,75,1570073547,87,48.64,13.53,46.99,11.41
247,Egvekinot,RU,100,1570073549,93,66.32,-179.17,29.42,2.48
248,Naze,NG,100,1570073550,98,5.43,7.07,72.33,4.47
249,Tapiramuta,BR,84,1570073551,87,-11.85,-40.79,66.03,6.71
250,Kama,JP,75,1570073553,65,33.54,130.74,86.0,17.22
251,Cayenne,GF,0,1570073554,83,4.94,-52.33,78.8,6.08
252,Flinders,AU,0,1570073555,15,-34.58,150.85,87.8,8.05
253,Nanortalik,GL,100,1570073557,75,60.14,-45.24,41.48,1.52
254,Northam,AU,0,1570073558,41,-31.65,116.67,75.2,10.29
255,Vicksburg,US,1,1570073559,94,32.35,-90.88,82.4,5.59
256,Geraldton,CA,90,1570073561,86,49.72,-86.95,32.0,2.24
257,Eyl,SO,12,1570073562,91,7.98,49.82,73.21,1.81
258,Dikson,RU,100,1570073563,70,73.51,80.55,26.52,24.36
259,Raudeberg,NO,95,1570073565,66,61.99,5.14,48.2,14.99
260,Fukue,JP,40,1570073566,61,35.03,136.69,82.99,18.34
261,Bajil,ES,86,1570073567,74,38.23,-2.07,48.0,1.99
262,Haines Junction,CA,19,1570073569,78,60.75,-137.51,34.92,2.86
263,King City,CA,75,1570073571,71,43.93,-79.54,53.01,23.04
264,Kawalu,ID,76,1570073572,54,-7.38,108.21,82.19,6.0
265,Pangnirtung,CA,0,1570073573,70,66.15,-65.72,23.26,3.91
266,Stuttgart,DE,0,1570073291,86,48.78,9.18,44.01,3.36
267,Codrington,AU,0,1570073576,28,-28.95,153.24,82.99,4.7
268,Chunskiy,RU,100,1570073577,44,56.08,99.63,42.92,8.66
269,Zeya,RU,0,1570073578,33,53.74,127.27,38.36,9.55
270,Deputatskiy,RU,100,1570073580,86,69.3,139.9,22.27,25.52
271,Nemuro,JP,75,1570073581,82,43.32,145.57,66.2,12.75
272,Fethiye,TR,0,1570073582,93,36.62,29.12,64.4,5.82
273,Saint-Philippe,CA,1,1570073583,86,45.36,-73.48,46.0,9.13
