,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
274,Soe,EE,100,1570073585,93,57.91,26.05,45.0,2.08
275,Santa Vitoria do Palmar,BR,83,1570073586,82,-33.52,-53.37,54.51,15.01
276,Quelimane,MZ,99,1570073587,90,-17.88,36.89,72.18,4.54
277,Sur,OM,0,1570073589,63,22.57,59.53,83.56,11.12
278,Bosaso,SO,61,1570073590,65,11.28,49.18,85.49,16.33
279,Gushikawa,JP,1,1570073592,70,26.35,127.87,87.8,6.93
280,Aksu,KZ,0,1570073593,69,52.04,76.93,39.2,4.47
281,Yamada,JP,75,1570073594,39,36.58,137.08,84.99,11.41
282,Prieska,ZA,0,1570073595,20,-29.67,22.74,55.53,12.17
283,Wainwright,CA,0,1570073503,93,52.84,-110.86,34.28,8.21
284,Pergine Valsugana,IT,40,1570073598,40,46.06,11.24,59.0,14.99
285,Salalah,OM,40,1570073599,83,17.01,54.1,78.8,4.7
286,Maunabo,PR,20,1570073601,88,18.01,-65.9,79.0,2.48
287,Mabaruma,GY,100,1570073602,95,8.2,-59.78,73.86,1.63
288,Walvis Bay,NA,90,1570073603,87,-22.95,14.51,57.2,8.05
289,Matam,SN,0,1570073605,88,15.66,-13.26,78.8,2.24
290,Itarema,BR,0,1570073606,81,-2.92,-39.92,75.05,9.22
291,Batemans Bay,AU,0,1570073607,37,-35.71,150.18,81.0,8.99
292,Tabou,CI,5,1570073609,96,4.42,-7.36,73.12,2.1
293,Hasaki,JP,75,1570073610,69,35.73,140.83,82.99,10.29
294,Baruun-Urt,MN,100,1570073611,63,46.68,113.28,38.25,18.9
295,Tasiilaq,GL,100,1570073613,60,65.61,-37.64,41.0,38.03
296,Thinadhoo,MV,87,1570073614,75,0.53,72.93,83.2,12.91
297,Syumsi,RU,100,1570073615,89,57.11,51.61,49.79,13.73
298,Valera,VE,41,1570073616,89,9.31,-70.61,69.92,4.08
299,Ustikolina,BA,75,1570073618,100,43.58,18.79,53.6,2.24
300,Vestmannaeyjar,IS,100,1570073619,75,63.44,-20.27,47.74,47.51
301,Damphu,BT,0,1570073620,63,27.07,90.11,71.64,3.09
302,Lamu,CN,100,1570073622,64,35.77,102.37,50.58,5.93
303,Twentynine Palms,US,1,1570073623,14,34.14,-116.05,73.99,1.03
304,Arman,RU,94,1570073624,71,59.7,150.17,32.28,4.47
305,Iralaya,HN,100,1570073626,87,15.0,-83.23,76.36,0.54
306,Denpasar,ID,20,1570073453,74,-8.65,115.22,84.2,10.29
307,Taksimo,RU,33,1570073628,47,56.36,114.84,30.41,3.76
308,Suntar,RU,100,1570073629,75,62.16,117.65,34.94,7.14
309,Tura,RU,100,1570073631,96,64.27,100.22,35.32,7.09
310,Katobu,ID,25,1570073632,41,-4.94,122.53,91.86,8.03
311,Westport,US,90,1570073524,82,41.14,-73.36,70.0,6.93
312,Belvidere,US,90,1570073634,93,42.26,-88.84,60.8,5.82
313,Lampa,CL,0,1570073636,57,-33.29,-70.87,48.2,8.05
314,Takoradi,GH,100,1570073637,96,4.89,-1.75,73.26,1.92
315,Aguimes,ES,0,1570073639,69,27.91,-15.45,80.01,14.99
316,Severodvinsk,RU,40,1570073640,77,64.56,39.82,33.8,6.71
317,Boyolangu,ID,0,1570073641,45,-8.09,111.9,87.41,6.38
318,Makakilo City,US,90,1570073488,78,21.35,-158.09,86.0,9.17
319,Talnakh,RU,75,1570073644,93,69.49,88.39,35.6,13.42
320,Umba,RU,0,1570073645,86,66.69,34.34,30.86,6.4
321,College,US,90,1570073646,100,64.86,-147.8,39.2,5.82
322,Waipawa,NZ,100,1570073647,59,-39.94,176.59,54.0,4.0
323,Yumen,CN,93,1570073649,22,40.29,97.04,56.54,17.94
324,Bestobe,KZ,85,1570073650,48,52.5,73.1,44.59,7.14
325,Kabare,RW,0,1570073651,94,-1.65,29.38,54.11,0.69
326,Athabasca,CA,0,1570073630,91,54.72,-113.29,35.57,4.76
327,Puerto Ayacucho,CO,40,1570073654,83,5.66,-67.63,80.6,0.83
328,Meulaboh,ID,98,1570073511,80,4.14,96.13,79.31,9.64
329,Klyuchi,RU,25,1570073656,57,52.25,79.17,43.74,2.95
330,Maiduguri,NG,100,1570073658,67,11.84,13.15,75.71,11.12
331,Saint-Pierre,FR,0,1570073659,74,48.95,4.24,37.4,2.24
332,Teya,MX,75,1570073660,83,21.05,-89.07,82.0,8.05
333,Nizwa,OM,0,1570073662,67,22.93,57.53,74.38,1.41
334,Kendari,ID,33,1570073663,51,-3.99,122.52,88.06,4.32
335,Tokur,RU,26,1570073664,49,53.13,132.9,40.49,4.74
336,Katherine,AU,0,1570073666,11,-14.47,132.26,96.8,17.22
337,Ferrol,ES,100,1570073667,100,43.48,-8.23,55.99,3.36
338,Trier,DE,75,1570073668,100,49.76,6.64,44.01,11.41
339,Lewistown,US,90,1570073670,100,40.39,-90.15,72.0,8.3
340,Samarai,PG,100,1570073671,92,-10.62,150.67,76.11,8.34
341,Kalmunai,LK,2,1570073672,65,7.42,81.82,83.56,5.21
342,Verkhnevilyuysk,RU,63,1570073673,72,63.45,120.31,33.75,4.76
343,Vila Velha,BR,0,1570073675,73,-3.71,-38.6,77.0,4.7
344,Nizhneangarsk,RU,70,1570073676,58,55.78,109.57,28.62,10.89
345,Poltavka,RU,3,1570073677,53,54.36,71.76,42.93,10.63
346,Amahai,ID,78,1570073678,76,-3.31,129.0,80.63,7.58
347,Sao Jose da Coroa Grande,BR,48,1570073680,92,-8.9,-35.15,70.71,4.12
348,Anchorage,US,90,1570073667,66,61.22,-149.89,50.0,1.72
349,Wajir,KE,0,1570073682,69,1.75,40.07,75.71,14.27
350,Alekseyevsk,RU,100,1570073683,92,57.84,108.35,33.14,12.55
351,Palmer,AU,20,1570073685,67,-34.85,139.16,73.99,16.11
352,Corcoran,US,1,1570073686,37,36.1,-119.56,68.0,4.7
353,Lima,PE,90,1570073495,88,-12.06,-77.04,62.6,10.29
354,Pankovka,RU,100,1570073689,88,58.5,31.2,43.35,6.58
355,Ornskoldsvik,SE,66,1570073690,74,63.29,18.72,39.2,11.41
356,Hovd,NO,90,1570073691,93,63.83,10.7,43.0,9.17
357,Buraydah,SA,0,1570073693,36,26.33,43.97,78.8,3.36
358,Maceio,BR,40,1570073694,94,-9.67,-35.74,69.8,2.24
359,Keffi,NG,75,1570073695,88,8.85,7.88,71.6,8.05
360,Mangaratiba,BR,0,1570073697,88,-22.96,-44.04,71.6,3.36
361,Seka,ET,29,1570073698,97,7.6,36.72,53.88,1.45
362,San Quintin,PH,46,1570073699,66,17.54,120.52,85.74,4.27
363,Yangambi,CD,100,1570073700,99,0.77,24.47,70.04,1.28
364,Kosh-Agach,RU,0,1570073702,36,49.99,88.66,30.62,3.87
365,Beloha,MG,100,1570073703,82,-25.17,45.06,69.97,10.89
366,Nogales,CL,0,1570073704,76,-32.73,-71.2,48.2,4.7
367,Ugoofaaru,MV,45,1570073705,71,5.67,73.0,83.27,7.36
368,Sao Felix do Xingu,BR,100,1570073707,96,-6.64,-51.99,69.97,1.07
369,Kutum,SD,78,1570073708,52,14.2,24.66,73.86,3.04
370,Shingu,JP,75,1570073709,69,33.72,135.99,80.6,19.46
371,Bowen,AU,40,1570073711,57,-20.01,148.25,77.0,23.04
372,Port Macquarie,AU,0,1570073543,29,-31.43,152.91,80.01,10.29
373,Opuwo,NA,15,1570073713,57,-18.06,13.84,53.55,1.34
374,Peleduy,RU,100,1570073714,90,59.63,112.75,31.85,11.86
375,Inhambane,MZ,0,1570073716,92,-23.87,35.38,58.11,3.11
376,Marshalltown,US,90,1570073717,100,42.04,-92.91,60.01,11.41
377,Burhaniye,TR,0,1570073718,87,39.51,26.98,71.6,10.42
378,Nerchinskiy Zavod,RU,0,1570073720,30,51.31,119.61,43.69,5.23
379,Izumo,JP,20,1570073721,48,35.37,132.75,87.8,19.46
380,Inuvik,CA,90,1570073722,93,68.36,-133.71,39.2,6.93
381,Margate,AU,0,1570073723,31,-43.03,147.26,82.0,10.29
382,Bermejo,AR,39,1570073725,62,-22.73,-64.34,56.72,2.91
383,Rancho Palos Verdes,US,5,1570073726,59,33.75,-118.37,69.8,5.82
384,Iwaki,JP,75,1570073727,53,37.05,140.89,79.0,12.75
385,Mill Creek,US,90,1570073729,100,40.44,-77.93,75.99,4.12
386,Navalmoral de la Mata,ES,100,1570073730,60,39.89,-5.54,57.0,1.01
387,Caravelas,BR,0,1570073731,78,-17.73,-39.27,69.81,7.87
388,Novyy Urengoy,RU,100,1570073526,93,66.08,76.63,46.1,13.38
389,Cabimas,VE,90,1570073734,76,10.39,-71.44,83.34,10.27
390,Kokkola,FI,0,1570073735,86,63.84,23.13,46.0,4.7
391,Barrancabermeja,CO,82,1570073737,98,7.07,-73.85,73.88,0.27
392,Souillac,FR,0,1570073738,87,45.6,-0.6,52.0,5.82
393,Yatou,CM,75,1570073739,100,3.63,9.81,75.2,3.36
394,Bandundu,CD,0,1570073740,88,-3.32,17.38,70.94,1.97
395,Manadhoo,MV,70,1570073510,74,5.77,73.38,82.75,9.48
396,Gat,SN,100,1570073743,100,14.69,-16.54,75.2,6.93
397,Brenham,US,1,1570073744,69,30.17,-96.4,82.4,3.36
398,Vanavara,RU,100,1570073745,97,60.35,102.28,36.51,7.09
399,Rodrigues Alves,BR,75,1570073747,100,-7.74,-72.65,73.4,2.24
400,Nhulunbuy,AU,75,1570073748,54,-12.18,136.78,84.2,17.22
401,Telica,HN,100,1570073749,99,14.72,-86.14,65.74,0.96
402,Rawson,AR,0,1570073751,23,-43.3,-65.11,48.33,7.43
403,Riyadh,SA,0,1570073752,26,24.63,46.72,78.8,3.36
404,Aklavik,CA,90,1570073753,93,68.22,-135.01,39.2,6.93
405,Road Town,VG,1,1570073754,70,18.42,-64.62,84.2,10.29
406,Sept-Iles,CA,75,1570073756,80,50.2,-66.38,35.6,8.05
407,Omsukchan,RU,0,1570073757,86,62.53,155.8,16.64,3.78
408,Atar,MR,0,1570073758,10,20.52,-13.05,93.35,8.68
409,Fort Nelson,CA,75,1570073760,81,58.81,-122.69,51.8,2.24
410,Sangar,RU,66,1570073761,55,63.92,127.47,31.13,10.22
411,Guimbal,PH,53,1570073762,59,10.66,122.32,88.29,1.92
412,Beni Suef,EG,0,1570073623,55,29.07,31.1,66.33,1.28
413,Phetchabun,TH,20,1570073765,70,16.42,101.16,86.0,3.36
414,Buta,CD,100,1570073766,99,2.79,24.73,69.03,2.44
415,Savyntsi,UA,0,1570073767,68,49.4,37.05,49.99,7.63
416,Champerico,MX,75,1570073769,94,16.38,-93.6,71.6,3.36
417,Buala,SB,43,1570073770,73,-8.15,159.59,82.53,9.28
418,Tolcsva,HU,90,1570073771,87,48.28,21.45,50.0,16.11
419,Labuhan,ID,0,1570073772,53,-2.54,115.51,91.07,1.77
420,Iskateley,RU,100,1570073774,96,67.68,53.15,35.36,13.96
421,Hamada,JP,40,1570073775,58,34.9,132.08,86.0,21.92
422,Mirabad,IR,70,1570073776,45,28.27,61.33,65.2,4.32
423,Necochea,AR,0,1570073593,67,-38.55,-58.74,42.01,1.99
424,Zhangye,CN,86,1570073779,29,38.94,100.46,54.65,5.95
425,Vostok,RU,100,1570073780,86,46.45,135.83,61.71,2.91
426,Callaguip,PH,40,1570073782,79,18.07,120.49,84.2,8.05
427,Togur,RU,1,1570073783,72,58.36,82.83,42.92,12.57
428,Vallenar,CL,66,1570073784,70,-28.58,-70.76,47.67,0.87
429,Kachiry,KZ,71,1570073786,50,53.07,76.1,43.92,7.85
430,Bluefield,US,1,1570073711,64,37.27,-81.22,73.4,3.36
431,Ca Mau,VN,16,1570073788,61,9.18,105.15,90.62,1.54
432,Dyersburg,US,1,1570073593,78,36.03,-89.39,78.8,5.68
433,Paamiut,GL,94,1570073791,52,61.99,-49.67,47.27,13.11
434,Hobyo,SO,100,1570073792,86,5.35,48.53,78.47,6.38
435,Boa Vista,BR,0,1570073794,66,2.82,-60.67,84.2,8.05
436,Lagoa,PT,0,1570073795,72,37.14,-8.45,61.0,3.36
437,Tiznit,MA,9,1570073796,81,29.7,-9.73,68.91,19.17
438,Almaty,KZ,20,1570073669,66,43.24,76.95,48.2,2.24
439,Miri,NG,89,1570073799,85,10.31,9.75,70.35,4.12
440,Swellendam,ZA,95,1570073800,87,-34.02,20.44,51.8,5.82
441,Pimenta Bueno,BR,39,1570073802,80,-11.68,-61.19,73.43,3.06
442,Alice Springs,AU,0,1570073803,7,-23.7,133.88,95.0,18.34
443,Arlit,NE,59,1570073804,12,18.74,7.39,86.53,10.09
444,Araouane,ML,24,1570073805,23,18.9,-3.53,91.01,4.65
445,Asahikawa,JP,75,1570073807,77,43.76,142.37,68.0,2.24
446,Liverpool,GB,0,1570073653,100,53.41,-2.98,43.0,5.82
447,Te Anau,NZ,8,1570073809,76,-45.41,167.72,43.98,9.17
448,Kamaishi,JP,75,1570073811,78,39.28,141.86,71.6,9.17
449,Bealanana,MG,44,1570073812,88,-14.54,48.75,59.87,7.2
450,Coahuayana,MX,100,1570073813,94,18.62,-100.35,70.58,3.11
451,Chernyshevskiy,RU,100,1570073814,92,63.01,112.47,32.33,11.56
452,Ostrovnoy,RU,93,1570073816,76,68.05,39.51,34.1,19.24
453,Bahia Blanca,AR,0,1570073817,65,-38.72,-62.27,42.9,11.45
454,Channel-Port aux Basques,CA,33,1570073818,64,47.57,-59.14,46.46,22.08
455,Klaksvik,FO,5,1570073820,81,62.23,-6.59,42.8,6.93
456,Tanout,NE,32,1570073821,20,14.97,8.88,89.41,9.17
457,Tomatlan,MX,100,1570073822,83,19.93,-105.25,78.99,3.4
458,Lagos,NG,20,1570073698,100,6.46,3.39,73.4,2.24
459,Weymouth,US,90,1570073825,76,42.22,-70.94,55.99,4.7
460,Uusikaupunki,FI,75,1570073826,80,60.8,21.41,41.0,10.29
461,Fairhope,US,1,1570073828,94,30.52,-87.9,82.0,4.03
462,Kozuchow,PL,40,1570073829,93,51.75,15.59,44.01,5.82
463,Khandyga,RU,91,1570073830,57,62.65,135.58,27.6,2.24
464,Olinda,AU,0,1570073832,18,-37.84,145.39,86.0,19.46
465,Conceicao do Araguaia,BR,0,1570073833,89,-8.26,-49.26,72.31,3.04
466,San Cristobal,HN,100,1570073834,95,14.68,-86.92,66.62,3.65
467,Neyshabur,IR,0,1570073836,62,36.21,58.79,50.15,3.49
468,Kalanguy,RU,0,1570073837,28,51.01,116.52,42.79,8.32
469,Pochutla,MX,100,1570073838,92,15.74,-96.47,73.99,3.8
470,Calama,CL,0,1570073840,40,-22.46,-68.93,53.6,21.92
471,Punta Alta,AR,90,1570073841,88,-27.46,-55.82,73.4,6.93
472,Chokurdakh,RU,97,1570073843,88,70.62,147.9,27.04,12.86
473,Boves,FR,0,1570073844,86,49.85,2.39,43.0,4.7
474,Marti,CU,75,1570073845,100,21.15,-77.45,75.2,6.93
475,Kieta,PG,100,1570073847,84,-6.22,155.63,78.52,5.1
476,Mehamn,NO,75,1570073848,74,71.03,27.85,37.4,16.11
477,Corinth,GR,20,1570073849,88,37.94,22.93,73.0,6.15
478,Goba,ET,12,1570073851,88,7.01,39.97,44.7,3.6
479,Houston,US,1,1570073061,78,29.76,-95.37,82.99,10.16
480,Namatanai,PG,69,1570073853,71,-3.66,152.44,81.63,5.91
481,Karsiyang,IN,40,1570073854,69,26.88,88.28,82.4,3.36
482,Guarapari,BR,75,1570073855,88,-20.67,-40.5,77.0,2.82
483,Nipawin,CA,1,1570073857,92,53.36,-104.02,30.2,2.24
484,Bell Ville,AR,3,1570073858,70,-32.63,-62.69,50.84,8.14
485,Padang,ID,97,1570073860,84,-0.92,100.36,78.34,14.23
486,Ottumwa,US,90,1570073861,93,41.02,-92.41,66.99,2.62
487,Burnie,AU,15,1570073862,30,-41.05,145.91,72.0,7.0
488,Toyooka,JP,75,1570073606,61,35.55,134.82,80.6,19.46
489,Jirkov,CZ,75,1570073864,93,50.5,13.45,46.99,13.87
490,Melipilla,CL,0,1570073866,87,-33.69,-71.21,48.2,4.7
491,Hofn,IS,100,1570073867,99,64.25,-15.21,31.31,13.85
492,Barra do Garcas,BR,61,1570073868,78,-15.89,-52.26,74.6,4.85
493,Okato,NZ,100,1570073870,76,-39.19,173.88,50.0,11.99
494,The Valley,AI,20,1570073871,78,18.22,-63.06,82.99,3.36
495,Hienghene,NC,94,1570073872,66,-20.68,164.93,66.3,6.51
496,Atbasar,KZ,98,1570073874,45,51.81,68.36,41.55,5.99
497,Oyama,JP,62,1570073875,50,36.31,139.8,87.01,3.51
498,Slave Lake,CA,1,1570073876,67,55.28,-114.77,46.4,6.93
499,Storm Lake,US,90,1570073761,100,42.64,-95.21,52.0,10.29
500,Alofi,NU,75,1570073879,74,-19.06,-169.92,82.4,6.93
501,Kolondieba,ML,100,1570073880,89,11.09,-6.89,73.62,8.23
502,Penarroya-Pueblonuevo,ES,100,1570073882,87,38.3,-5.27,60.01,3.36
503,Traunstein,DE,75,1570073883,81,47.87,12.64,45.0,1.12
504,Acajutla,SV,100,1570073818,81,13.59,-89.83,79.31,6.04
505,Erdenet,MN,0,1570073885,69,49.03,104.04,30.69,3.98
506,Benghazi,LY,0,1570073887,56,32.12,20.07,74.4,13.87
507,Vestmanna,FO,0,1570073888,81,62.16,-7.17,42.8,6.93
508,Shirokiy,RU,45,1570073889,86,53.87,39.17,48.0,1.01
509,Kaniama,CD,0,1570073891,86,-7.57,24.18,66.51,1.9
510,Hoi An,VN,20,1570073670,63,15.88,108.33,91.4,3.36
511,Doha,QA,1,1570073822,69,25.29,51.53,89.6,4.7
512,Harper,US,1,1570073894,60,30.3,-99.24,80.6,7.0
513,Biltine,TD,61,1570073895,63,14.53,20.93,82.21,8.1
514,Ko Samui,TH,20,1570073897,66,9.54,99.94,89.6,5.82
515,Kirakira,SB,27,1570073898,77,-10.46,161.92,80.84,6.89
516,Dhidhdhoo,MV,0,1570073899,72,6.88,73.1,82.62,7.23
517,El Angel,EC,100,1570073900,85,0.62,-77.93,55.95,3.69
518,Los Llanos de Aridane,ES,40,1570073902,88,28.66,-17.92,71.6,11.41
519,Batagay-Alyta,RU,100,1570073903,72,67.8,130.41,15.2,4.68
520,Agbor,NG,98,1570073904,99,6.26,6.15,71.66,2.08
521,Magaria,NE,53,1570073905,59,13.0,8.91,80.48,10.8
522,Hirara,JP,20,1570073907,66,24.8,125.28,86.0,8.05
523,Chagoda,RU,100,1570073908,95,59.16,35.33,41.69,3.36
524,Ruwi,OM,0,1570073909,52,23.6,58.55,91.4,9.17
525,Cafarnaum,BR,7,1570073910,86,-11.69,-41.47,65.4,10.25
526,Abha,SA,0,1570073912,45,18.22,42.5,62.6,4.7
527,Dawlatabad,AF,0,1570073913,21,36.41,64.91,58.97,1.81
528,Jutai,BR,1,1570073914,86,-1.71,-47.89,74.51,3.85
529,Chapleau,CA,58,1570073916,86,47.85,-83.4,32.21,6.82
530,Evanston,US,90,1570073804,87,42.04,-87.69,62.01,8.05
531,Sinazongwe,ZM,7,1570073646,83,-17.26,27.46,65.16,7.38
532,Koslan,RU,97,1570073919,86,63.46,48.9,35.03,11.77
533,Moose Factory,CA,20,1570073882,100,51.26,-80.61,30.2,3.36
534,Warmbad,DE,86,1570073922,87,50.67,13.08,46.99,14.99
535,Ojinaga,US,90,1570073923,88,29.56,-104.41,71.6,12.75
536,Mananjary,MG,100,1570073925,63,-19.16,46.8,66.87,7.65
537,Granja,BR,0,1570073926,83,-3.12,-40.83,70.4,4.92
538,Zaysan,KZ,0,1570073927,22,47.47,84.87,41.84,3.11
539,Harpanahalli,IN,99,1570073929,76,14.8,75.98,78.0,6.13
540,Saint-Georges,CA,41,1570073930,100,46.12,-70.67,39.0,1.68
541,Bakel,SN,100,1570073931,54,14.9,-12.46,84.12,6.55
542,Sorland,NO,20,1570073932,69,67.67,12.69,33.8,11.41
543,Chulman,RU,100,1570073934,76,56.84,124.9,30.35,11.1
544,Villa Carlos Paz,AR,0,1570073935,61,-31.42,-64.5,55.0,3.36
545,Hurricane,US,1,1570073936,10,37.18,-113.29,64.4,4.7
546,Jinsha,CN,40,1570073937,70,24.49,118.41,87.8,4.47
547,Salinopolis,BR,0,1570073939,79,-0.61,-47.36,81.2,18.43
548,Bilibino,RU,100,1570073940,89,68.06,166.44,13.81,5.37
549,Sakaiminato,JP,20,1570073941,48,35.55,133.23,87.8,19.46
